"day","month","year","precip","tmax","tmin","srad"
1,3,2000,0.8,35,25,17.49887353
2,3,2000,10.4,29.4,23.5,11.60405495
3,3,2000,0,33,22,14.26866539
4,3,2000,0,34.8,23,20.83765904
5,3,2000,0,36,26.5,23.35819959
6,3,2000,0,35,26,20.25641548
7,3,2000,0,34.2,23.5,21.6839404
8,3,2000,0,33.6,26,21.39103634
9,3,2000,0,34,24,24.5422829
10,3,2000,0,34.6,24,24.09200397
11,3,2000,0,34,23.5,20.19001974
12,3,2000,0,34.4,25,17.06702425
13,3,2000,0,34.8,26.5,23.98663791
14,3,2000,0,34.2,25,23.2160922
15,3,2000,0,34.4,24,24.01483514
16,3,2000,0,35.2,24.5,24.34142257
17,3,2000,0,34.4,24.5,24.35252118
18,3,2000,0,34.2,26.5,24.0478458
19,3,2000,0,34.2,26,22.64079903
20,3,2000,0,34.4,26,20.76019018
21,3,2000,0,34.4,26.5,17.77685173
22,3,2000,32.1,33.8,25,10.38720974
23,3,2000,34.3,30.4,20.5,9.761656883
24,3,2000,102.7,32.4,21.5,20.93369926
25,3,2000,15.2,29.4,24.53022939,9.453012084
26,3,2000,0,29,24.81767392,12.28593563
27,3,2000,0.8,28.2,22.5,12.91593628
28,3,2000,0,33,22.5,21.08954871
29,3,2000,24.2,33.2,23.5,17.31541191
30,3,2000,0,33.2,22.5,16.21322557
31,3,2000,0,32.2,22,23.27506045
1,4,2004,0,33.2,22,20.75695403
2,4,2004,0.6,31.6,24.5,17.29933069
3,4,2004,3.9,26.6,23.5,10.39621953
4,4,2004,38.5,33.6,22.5,23.55221443
5,4,2004,4.5,33.2,22.5,20.09619359
6,4,2004,0,33.6,23,24.62209757
7,4,2004,10,33.2,24,19.60506522
8,4,2004,14.7,31.8,24,17.7187607
9,4,2004,5.8,32.8,23.5,15.83479548
10,4,2004,5,32.4,24,17.69534981
11,4,2004,5.1,30,23,10.51721323
12,4,2004,0,31,23,16.11282854
13,4,2004,4.2,30.4,24.5,9.415487728
14,4,2004,6.1,30.6,23.5,13.2915964
15,4,2004,25.8,29.8,23,10.64364148
16,4,2004,13.2,28.4,22.5,11.8748936
17,4,2004,75.1,31.8,23.62355495,13.56720459
18,4,2004,4.4,29.8,22,16.33715604
19,4,2004,2.9,29.6,22.5,12.46078677
20,4,2004,5.6,31,23.5,17.53739924
21,4,2004,0.3,30,22.5,16.44035941
22,4,2004,9.8,32.4,22.5,21.03641512
23,4,2004,0.9,28.6,22.5,9.338240803
24,4,2004,8.9,30.4,22,18.07217579
25,4,2004,14.7,28,22,10.39165164
26,4,2004,2.2,31.8,23,19.7111572
27,4,2004,57.7,30.8,22.5,16.47874712
28,4,2004,0,31.4,21.5,23.77950301
29,4,2004,0,32.6,23.5,23.59577977
30,4,2004,0,31.4,24,17.32897842
1,5,1983,13,32,22.03399927,13.83114566
2,5,1983,0,32,22,12.44706851
3,5,1983,0,32.2,21.4,22.13568254
4,5,1983,20.2,32.4,22.94288662,12.87009365
5,5,1983,0.7,32,24.8,21.47032874
6,5,1983,4.4,32,23,15.7049532
7,5,1983,0,35.4,23.28948252,14.77969358
8,5,1983,0,32,23.7874663,19.72589373
9,5,1983,8.6,32.4,23.6,9.782029556
10,5,1983,16,32.4,22.2,9.469841665
11,5,1983,33.1,32,22.78116532,9.907532121
12,5,1983,0,32,23.2,13.78389816
13,5,1983,0,32,24.4,20.78468653
14,5,1983,6.2,32,26.4,19.1157293
15,5,1983,10.1,32.2,24.8,13.43174906
16,5,1983,0,32,22.6,16.68509006
17,5,1983,2,32,24.6,21.11659531
18,5,1983,34.4,32.4,23.4,13.08337979
19,5,1983,9.2,32.2,23.2,14.69512878
20,5,1983,0,32,24,13.78960936
21,5,1983,4.3,32,23.4,14.95333626
22,5,1983,2.5,32,22.8,9.333486205
23,5,1983,0,32,22.2,14.62223146
24,5,1983,0,32,23,16.51586185
25,5,1983,37.3,32,23,15.61533974
26,5,1983,0,32,22.6,11.63829144
27,5,1983,0.8,32,24.6,18.80138226
28,5,1983,1,32,24.2,12.63701515
29,5,1983,38.5,32,22.03329603,8.971372155
30,5,1983,7.7,32,22.8,20.63661632
31,5,1983,0.6,32,22.4,18.57441821
1,6,1991,21,28.36420156,24.16420156,13.35952009
2,6,1991,33.4,31.11653059,23.91653059,15.78213482
3,6,1991,16.4,26.64506485,22.44506485,11.5638753
4,6,1991,0,31.13289206,22.33289206,15.21250753
5,6,1991,0,30.77288547,22.47288547,14.95910428
6,6,1991,8,30.48652062,21.88652062,16.50259925
7,6,1991,0,27.46392093,24.06392093,11.33580595
8,6,1991,6,27.88040439,23.28040439,13.35637322
9,6,1991,8.1,26.89603576,21.69603576,10.97298941
10,6,1991,25,29.62780689,21.92780689,14.62552309
11,6,1991,0,27.41230725,20.81230725,13.06652518
12,6,1991,0,31.10250081,21.30250081,9.308262506
13,6,1991,3,28.97719676,22.97719676,9.159413632
14,6,1991,0.7,31.67663215,21.87663215,12.18147023
15,6,1991,0,31.27022772,23.07022772,13.47255513
16,6,1991,1.3,30.7016189,22.3016189,10.15574728
17,6,1991,14.8,29.31880784,23.61880784,11.30368332
18,6,1991,0,27.36362781,23.16362781,16.62375916
19,6,1991,0,30.19865495,21.59865495,18.92079401
20,6,1991,0,29.32145385,22.92145385,14.60248944
21,6,1991,0,29.83096154,22.83096154,15.46267763
22,6,1991,14.8,31.69558754,22.29558754,16.32331612
23,6,1991,5,30.56108545,21.26108545,14.02198689
24,6,1991,18,31.26038696,22.86038696,9.134034515
25,6,1991,0,30.32180086,22.12180086,14.88415924
26,6,1991,0,29.57224533,21.37224533,19.9167427
27,6,1991,30,29.85355087,21.05355087,8.847657142
28,6,1991,16,28.22909244,20.32909244,11.14969428
29,6,1991,3.2,31.00527424,22.80527424,10.86401069
30,6,1991,3.3,30.5201641,21.9201641,15.47056938
1,7,1989,9,32.57870509,22,14.89920329
2,7,1989,21,32.41224809,22.2,18.21555298
3,7,1989,0,30.88719394,21.4,13.61306941
4,7,1989,0,32.4330832,23.4330832,17.36533819
5,7,1989,7.5,29.10016725,23.50016725,12.32690674
6,7,1989,25,28.04025512,22.64025512,10.16881318
7,7,1989,2.5,29.19013645,20.79013645,8.874690079
8,7,1989,1.4,30.64860802,19.8,10.61255698
9,7,1989,0,28.20596052,23,11.34132916
10,7,1989,0,30.04429839,20,10.91435518
11,7,1989,14.1,31.0383818,23,15.55366805
12,7,1989,0,29.89557311,21.2,17.15845723
13,7,1989,6.5,30.95206494,21.2,9.921554682
14,7,1989,25.4,30.28998194,22.2,16.89487409
15,7,1989,8.5,29.3218964,21.1218964,16.76353769
16,7,1989,10.5,29.34354297,23.4,8.926262879
17,7,1989,0,29.39850191,22.2,9.369956033
18,7,1989,0,31.1933023,21.2,17.38396259
19,7,1989,1,28.85610512,22,11.42750514
20,7,1989,0.5,30.9038299,22.4,19.32209031
21,7,1989,0,27.46225473,22.66225473,12.20627341
22,7,1989,37.7,28.46846606,22.4,12.59458369
23,7,1989,0,26.26593697,20.4,14.10767446
24,7,1989,0,28.69143967,23.6,19.69580503
25,7,1989,18.8,29.47415212,22,10.46566397
26,7,1989,0,30.09454248,22.8,16.65148692
27,7,1989,0,29.04278541,23.04278541,25.35545958
28,7,1989,4,29.56039779,21.8,14.77223703
29,7,1989,0,27.70944999,23.6,22.31558236
30,7,1989,0,29.52582918,22.4,13.85155693
31,7,1989,4.4,30.01068383,21.81068383,18.23773039
1,8,1998,0,31.13191411,22.13191411,17.42854496
2,8,1998,0,31.26338117,20.66338117,20.52451077
3,8,1998,12.4,28.98606465,22.18606465,16.45543681
4,8,1998,42.5,25.5096241,24.7096241,18.91657577
5,8,1998,0,30.17982657,22.47982657,20.28003705
6,8,1998,0,31.29096784,21.09096784,19.97700319
7,8,1998,23.6,31.54895769,25,17.49620815
8,8,1998,0,30.60832752,23.20832752,18.24036799
9,8,1998,0,29.28354677,24.08354677,12.91166418
10,8,1998,22.4,29.42245327,23.72245327,15.40631993
11,8,1998,1.8,27.482939,22.682939,18.42162967
12,8,1998,0.7,30.89833651,23.09833651,16.58644164
13,8,1998,0,30.87816019,22.37816019,18.30201547
14,8,1998,0,31.4991121,21.2991121,18.72251936
15,8,1998,1.4,30.56314363,22.06314363,15.47111337
16,8,1998,0,30.05118487,21.65118487,17.30100478
17,8,1998,0,30.57589179,21.17589179,18.00338409
18,8,1998,0,24.67447181,23.87447181,16.4883404
19,8,1998,0,29.11017809,22.31017809,15.7680421
20,8,1998,0,30.00310788,21.60310788,17.51484841
21,8,1998,0,30.74971044,21.44971044,16.70350479
22,8,1998,25.1,30.73745769,22.73745769,17.92166341
23,8,1998,26.7,30.36033165,23.16033165,14.02769903
24,8,1998,8.8,26.64643533,21.24643533,19.76602079
25,8,1998,4.7,25.91135231,19.21135231,17.53722428
26,8,1998,1.3,29.52272457,20.32272457,16.24320316
27,8,1998,0.3,30.115576,21.915576,17.38351808
28,8,1998,0,30.56694923,19.96694923,19.47803456
29,8,1998,0,29.27999104,21.07999104,17.29127908
30,8,1998,0.4,30.58327528,20.38327528,19.71526488
31,8,1998,12.4,31.28495994,22.28495994,14.48025635
